,Permit Creation Date,Revised Cost,Zipcode,Revised_Cost_Range,Low,Very Low,High,Medium,Very High,Extremely High
331,2017-10-06,111277.0,94116.0,High,0,0,1,0,0,0
332,2017-10-06,1.0,94114.0,Very Low,0,1,0,0,0,0
333,2017-10-10,1.0,94103.0,Very Low,0,1,0,0,0,0
334,2017-10-10,1.0,94134.0,Very Low,0,1,0,0,0,0
335,2017-10-10,0.0,94114.0,Very Low,0,1,0,0,0,0
336,2017-10-12,1.0,94117.0,Very Low,0,1,0,0,0,0
337,2017-10-12,1.0,94131.0,Very Low,0,1,0,0,0,0
338,2017-10-12,1.0,94110.0,Very Low,0,1,0,0,0,0
339,2017-10-12,0.0,94118.0,Very Low,0,1,0,0,0,0
340,2017-10-12,111277.0,94109.0,High,0,0,1,0,0,0
341,2017-10-12,1.0,94114.0,Very Low,0,1,0,0,0,0
342,2017-10-13,1.0,94123.0,Very Low,0,1,0,0,0,0
343,2017-10-13,1.0,94115.0,Very Low,0,1,0,0,0,0
344,2017-10-13,1.0,94103.0,Very Low,0,1,0,0,0,0
345,2017-10-13,1.0,94123.0,Very Low,0,1,0,0,0,0
346,2017-10-13,1.0,94115.0,Very Low,0,1,0,0,0,0
347,2017-10-16,1.0,94131.0,Very Low,0,1,0,0,0,0
348,2017-10-16,1.0,94110.0,Very Low,0,1,0,0,0,0
349,2017-10-17,1.0,94115.0,Very Low,0,1,0,0,0,0
350,2017-10-18,1.0,94103.0,Very Low,0,1,0,0,0,0
351,2017-10-19,1.0,94115.0,Very Low,0,1,0,0,0,0
352,2017-10-19,1.0,94117.0,Very Low,0,1,0,0,0,0
353,2017-10-20,1.0,94118.0,Very Low,0,1,0,0,0,0
354,2017-10-23,1.0,94109.0,Very Low,0,1,0,0,0,0
355,2017-10-23,1.0,94112.0,Very Low,0,1,0,0,0,0
356,2017-10-23,1.0,94110.0,Very Low,0,1,0,0,0,0
357,2017-10-23,1.0,94123.0,Very Low,0,1,0,0,0,0
358,2017-10-24,1.0,94114.0,Very Low,0,1,0,0,0,0
359,2017-10-25,1.0,94123.0,Very Low,0,1,0,0,0,0
360,2017-10-25,500.0,94110.0,Very Low,0,1,0,0,0,0
361,2017-10-25,0.0,94118.0,Very Low,0,1,0,0,0,0
362,2017-10-26,25000.0,94121.0,Medium,0,0,0,1,0,0
363,2017-10-26,8800.0,94118.0,Low,1,0,0,0,0,0
364,2017-10-26,1.0,94102.0,Very Low,0,1,0,0,0,0
365,2017-10-27,500.0,94134.0,Very Low,0,1,0,0,0,0
366,2017-10-27,1.0,94112.0,Very Low,0,1,0,0,0,0
367,2017-10-30,0.0,94130.0,Very Low,0,1,0,0,0,0
368,2017-10-30,0.0,94109.0,Very Low,0,1,0,0,0,0
369,2017-10-30,1.0,94114.0,Very Low,0,1,0,0,0,0
370,2017-10-31,1.0,94118.0,Very Low,0,1,0,0,0,0
371,2017-10-31,244.0,94103.0,Very Low,0,1,0,0,0,0
372,2017-10-31,0.0,94133.0,Very Low,0,1,0,0,0,0
373,2017-11-01,1.0,94114.0,Very Low,0,1,0,0,0,0
374,2017-11-01,1.0,94110.0,Very Low,0,1,0,0,0,0
375,2017-11-01,11425.0,94133.0,Medium,0,0,0,1,0,0
376,2017-11-01,1.0,94107.0,Very Low,0,1,0,0,0,0
377,2017-11-02,10000.0,94122.0,Low,1,0,0,0,0,0
378,2017-11-03,111277.0,94131.0,High,0,0,1,0,0,0
379,2017-11-03,111277.0,94112.0,High,0,0,1,0,0,0
380,2017-11-03,111277.0,94116.0,High,0,0,1,0,0,0
381,2017-11-03,1.0,94110.0,Very Low,0,1,0,0,0,0
382,2017-11-06,1.0,94109.0,Very Low,0,1,0,0,0,0
383,2017-11-06,0.0,94131.0,Very Low,0,1,0,0,0,0
384,2017-11-06,0.0,94112.0,Very Low,0,1,0,0,0,0
385,2017-11-07,1.0,94114.0,Very Low,0,1,0,0,0,0
386,2017-11-07,1.0,94115.0,Very Low,0,1,0,0,0,0
387,2017-11-07,5000.0,94103.0,Low,1,0,0,0,0,0
388,2017-11-08,1.0,94131.0,Very Low,0,1,0,0,0,0
389,2017-11-08,0.0,94110.0,Very Low,0,1,0,0,0,0
390,2017-11-08,1.0,94133.0,Very Low,0,1,0,0,0,0
391,2017-11-09,1.0,94115.0,Very Low,0,1,0,0,0,0
392,2017-11-09,44600.0,94115.0,Medium,0,0,0,1,0,0
393,2017-11-09,15800.0,94107.0,Medium,0,0,0,1,0,0
394,2017-11-10,1.0,94114.0,Very Low,0,1,0,0,0,0
395,2017-11-10,1.0,94123.0,Very Low,0,1,0,0,0,0
